Feature_Number,Feature_Name,Data_Type,Non_Null_Count,Unique_Values,Missing_Values
1,DelayMinutes,int64,250000,41,0
2,is_delayed,int64,250000,2,0
3,FlightNumber,int64,250000,9999,0
4,Airline,object,250000,4,0
5,Distance,int64,250000,2901,0
6,Origin,object,250000,5,0
7,Destination,object,250000,5,0
8,route_distance_km,float64,250000,25,0
9,elevation_difference,float64,250000,20,0
10,avg_elevation,float64,250000,20,0
11,departure_month,int32,250000,1,0
12,departure_hour,int32,250000,24,0
13,departure_dayofweek,int32,250000,1,0
14,departure_day,int32,250000,1,0
15,season,object,250000,1,0
16,is_weekend,int64,250000,1,0
17,is_morning,int64,250000,2,0
18,is_evening,int64,250000,2,0
19,origin_country,object,250000,1,0
20,dest_country,object,250000,1,0
